(~E ^ ~H) & (~E ^ ~H) & H & H . What is ~E ?	(~E ^ ~H) & H . What is ~E ?	(~E ^ ~H) & H	True
(G | B) & (G | B) & (G | B) & (B <=> ~I) & I & I & (B <=> ~I) & (B <=> ~I) . What is ~B ?	(G | B) & (B <=> ~I) & I . What is ~B ?	(G | B) & (B <=> ~I) & I	True
A & (A ^ G) & (~J | H) & (G | C) & (A ^ G) & (~J | H) & (~J | H) & (C | ~E) & A & F & F & (C | ~E) & (C | ~E) & A . What is C ?	A & (A ^ G) & (~J | H) & (G | C) & (C | ~E) & F . What is C ?	A & (A ^ G) & (~J | H) & (G | C) & (C | ~E) & F	True
(~J ^ B) & (G & ~A) & (G & ~A) & (G & ~A) & (~A & ~D) & F & F & F & (~A & ~D) & (~A & ~D) . What is G ?	(~J ^ B) & (G & ~A) & (~A & ~D) & F . What is G ?	(~J ^ B) & (G & ~A) & (~A & ~D) & F	True
(~C <=> A) & ~B & (~J ^ B) & ~A & (~J ^ B) & ~A . What is ~A ?	(~C <=> A) & ~B & (~J ^ B) & ~A . What is ~A ?	(~C <=> A) & ~B & (~J ^ B) & ~A	True
(~B <=> ~J) & (~B <=> ~J) & (~H | ~F) & (~B <=> ~J) & (~F | ~B) & (~H | ~F) & (~H | ~F) . What is ~H ?	(~B <=> ~J) & (~H | ~F) & (~F | ~B) . What is ~H ?	(~B <=> ~J) & (~H | ~F) & (~F | ~B)	Unknown HELP!
(C | ~D) & (~A ^ F) & (C | ~D) & A & A & (~A ^ F) & C & (~A ^ F) & A . What is C ?	(C | ~D) & (~A ^ F) & A & C . What is C ?	(C | ~D) & (~A ^ F) & A & C	True
~A & (~E & ~H) & (~E & ~H) . What is H ?	~A & (~E & ~H) . What is H ?	~A & (~E & ~H)	False
(J & C) & ~F & (~A | ~H) & ~F & (~A | ~H) & (J & C) & (J & C) & A & (~A | ~H) & A & A . What is J ?	(J & C) & ~F & (~A | ~H) & A . What is J ?	(J & C) & ~F & (~A | ~H) & A	True
(B ^ F) & (B ^ F) & (~G & B) & ~E & (F ^ ~H) . What is H ?	(B ^ F) & (~G & B) & ~E & (F ^ ~H) . What is H ?	(B ^ F) & (~G & B) & ~E & (F ^ ~H)	False
(I ^ C) & (~J ^ I) & (C ^ ~F) & (~J ^ I) & (~J ^ I) & (I ^ C) & (C ^ ~F) & (C ^ ~F) . What is J ?	(I ^ C) & (~J ^ I) & (C ^ ~F) . What is J ?	(I ^ C) & (~J ^ I) & (C ^ ~F)	Unknown HELP!
(~C | H) & (~J ^ G) & I & I & C & (~C | H) & (B & ~F) & (G <=> ~C) & (G <=> ~C) & I & (~J ^ G) & (~C | H) . What is J ?	(~C | H) & (~J ^ G) & I & C & (B & ~F) & (G <=> ~C) . What is J ?	(~C | H) & (~J ^ G) & I & C & (B & ~F) & (G <=> ~C)	False
E & E . What is ~E ?	E . What is ~E ?	E	False
~E & (~A ==> E) & (~A ==> E) & ~E & (~A ==> E) & ~E . What is ~A ?	~E & (~A ==> E) . What is ~A ?	~E & (~A ==> E)	False
(~A <=> H) & (~A <=> H) & (~A <=> H) . What is H ?	(~A <=> H) . What is H ?	(~A <=> H)	Unknown HELP!
E & E . What is E ?	E . What is E ?	E	True
G & ~A & (~J & E) & (~D | ~J) & (A & F) & (A & F) & G & G & (~D | ~J) & (~D | ~J) . What is G ?	G & ~A & (~J & E) & (~D | ~J) & (A & F) . What is G ?	G & ~A & (~J & E) & (~D | ~J) & (A & F)	Contradictory
~D & ~D & (~D ==> B) & (~D ==> B) & (A & ~H) & (~H <=> ~I) . What is H ?	~D & (~D ==> B) & (A & ~H) & (~H <=> ~I) . What is H ?	~D & (~D ==> B) & (A & ~H) & (~H <=> ~I)	False
