(G <=> ~A) . What is ~A ?	(G <=> ~A) . What is ~A ?	(G <=> ~A)	Unknown HELP!
B & ~D & B & ~D & (~E & ~I) & (~H & ~F) & (~E & ~I) & (~E & ~I) . What is F ?	B & ~D & (~E & ~I) & (~H & ~F) . What is F ?	B & ~D & (~E & ~I) & (~H & ~F)	False
(H & ~I) & (~I <=> D) & (~I <=> D) & (D | F) . What is I ?	(H & ~I) & (~I <=> D) & (D | F) . What is I ?	(H & ~I) & (~I <=> D) & (D | F)	False
(B <=> F) & F & F & F . What is F ?	(B <=> F) & F . What is F ?	(B <=> F) & F	True
(E & ~B) & (D ==> E) & (D ==> E) & ~B & (F ==> D) & ~B & (E & ~B) & (E & ~B) & (F ==> D) & (F ==> D) . What is B ?	(E & ~B) & (D ==> E) & ~B & (F ==> D) . What is B ?	(E & ~B) & (D ==> E) & ~B & (F ==> D)	False
(D & ~I) & (~I ==> ~F) & H & H & (~E <=> D) & (~E <=> D) . What is I ?	(D & ~I) & (~I ==> ~F) & H & (~E <=> D) . What is I ?	(D & ~I) & (~I ==> ~F) & H & (~E <=> D)	False
D & D & D . What is D ?	D . What is D ?	D	True
(~D & G) & (G | E) & (G | E) & (~D & G) & (~D & G) . What is G ?	(~D & G) & (G | E) . What is G ?	(~D & G) & (G | E)	True
(I & ~E) & C & (~E ^ ~C) & (~E ^ ~C) & (~G & I) & (~E ^ ~C) & (I & ~E) . What is G ?	(I & ~E) & C & (~E ^ ~C) & (~G & I) . What is G ?	(I & ~E) & C & (~E ^ ~C) & (~G & I)	False
~I & ~I . What is ~I ?	~I . What is ~I ?	~I	True
(F & ~B) & (F & ~B) & (F & ~B) . What is F ?	(F & ~B) . What is F ?	(F & ~B)	True
G & (~F ^ G) & (~F ^ G) & (~B <=> ~F) & (~B <=> ~F) & (~B <=> ~F) . What is G ?	G & (~F ^ G) & (~B <=> ~F) . What is G ?	G & (~F ^ G) & (~B <=> ~F)	True
(G & A) & (F ==> B) & I & (F ==> B) & (B & J) . What is ~J ?	(G & A) & (F ==> B) & I & (B & J) . What is ~J ?	(G & A) & (F ==> B) & I & (B & J)	False
~D . What is D ?	~D . What is D ?	~D	False
(E <=> C) & (A ^ E) & H & H & (E <=> C) & (A ^ E) & (A ^ E) . What is ~H ?	(E <=> C) & (A ^ E) & H . What is ~H ?	(E <=> C) & (A ^ E) & H	False
(B ^ G) & (~J <=> ~C) & (B ^ G) & E & B & B & B . What is ~G ?	(B ^ G) & (~J <=> ~C) & E & B . What is ~G ?	(B ^ G) & (~J <=> ~C) & E & B	True
(~H | ~I) & I & G & (~I ==> ~D) & (C ^ J) & I & (C ^ J) & G & (~I ==> ~D) & (~I ==> ~D) & (~B & ~H) . What is ~I ?	(~H | ~I) & I & G & (~I ==> ~D) & (C ^ J) & (~B & ~H) . What is ~I ?	(~H | ~I) & I & G & (~I ==> ~D) & (C ^ J) & (~B & ~H)	False
~G & (~D <=> ~H) & (J <=> ~G) & ~C & (~G ==> F) & (J <=> ~G) & ~C & (~D <=> ~H) & (~D <=> ~H) . What is J ?	~G & (~D <=> ~H) & (J <=> ~G) & ~C & (~G ==> F) . What is J ?	~G & (~D <=> ~H) & (J <=> ~G) & ~C & (~G ==> F)	True
(~I <=> ~H) & (~H & E) & (E | ~D) & (~H & E) & (E | ~D) . What is ~I ?	(~I <=> ~H) & (~H & E) & (E | ~D) . What is ~I ?	(~I <=> ~H) & (~H & E) & (E | ~D)	True
(~F ^ E) & (B <=> ~H) & B & G & B & (~G ==> ~F) . What is ~G ?	(~F ^ E) & (B <=> ~H) & B & G & (~G ==> ~F) . What is ~G ?	(~F ^ E) & (B <=> ~H) & B & G & (~G ==> ~F)	False
(~E ^ ~J) & ~E & (F | ~I) & (~E ^ ~J) & (~E ^ ~J) & (~J <=> ~A) & (~J <=> ~A) & ~E & ~H & (~J <=> ~A) & (F | ~I) & ~H & (F | ~I) & ~H . What is ~E ?	(~E ^ ~J) & ~E & (F | ~I) & (~J <=> ~A) & ~H . What is ~E ?	(~E ^ ~J) & ~E & (F | ~I) & (~J <=> ~A) & ~H	True
D & D & (I ==> D) & (I ==> D) & ~E & (D ==> ~B) & ~E & ~E & (E ==> G) & (E ==> G) & (E ==> G) . What is D ?	D & (I ==> D) & ~E & (D ==> ~B) & (E ==> G) . What is D ?	D & (I ==> D) & ~E & (D ==> ~B) & (E ==> G)	True
C & C & C . What is ~C ?	C . What is ~C ?	C	False
(~B ^ G) & ~B & ~B & ~B & (F & ~I) & (~J | F) . What is F ?	(~B ^ G) & ~B & (F & ~I) & (~J | F) . What is F ?	(~B ^ G) & ~B & (F & ~I) & (~J | F)	True
B & ~C & ~C & (H ==> D) & B & (J & I) & (J & I) & (J & I) . What is B ?	B & ~C & (H ==> D) & (J & I) . What is B ?	B & ~C & (H ==> D) & (J & I)	True
~B & ~B & ~B . What is B ?	~B . What is B ?	~B	False
G & (~J ^ G) & (A <=> ~I) & (~J ^ G) & (~I & C) & (~J ^ G) & (~I & C) & G & ~A & ~A & ~A & G . What is I ?	G & (~J ^ G) & (A <=> ~I) & (~I & C) & ~A . What is I ?	G & (~J ^ G) & (A <=> ~I) & (~I & C) & ~A	Contradictory
(C ^ ~D) & (~J & H) & (H ==> C) & ~G & ~G & (G | E) & (H ==> C) . What is ~H ?	(C ^ ~D) & (~J & H) & (H ==> C) & ~G & (G | E) . What is ~H ?	(C ^ ~D) & (~J & H) & (H ==> C) & ~G & (G | E)	False
(~A & E) & (~A & E) & ~D & E & (~D <=> ~F) & (H | ~A) . What is J ?	(~A & E) & ~D & E & (~D <=> ~F) & (H | ~A) . What is J ?	(~A & E) & ~D & E & (~D <=> ~F) & (H | ~A)	Unknown HELP!
(~H ^ A) & (~H ^ A) & ~E & (~J & E) & ~E & (~H ^ A) & (D & B) & (B & ~H) & (B & ~H) & (D & B) & (B & ~H) & (D & B) . What is ~A ?	(~H ^ A) & ~E & (~J & E) & (D & B) & (B & ~H) . What is ~A ?	(~H ^ A) & ~E & (~J & E) & (D & B) & (B & ~H)	Contradictory
(D & ~J) & G & (~E | F) & E & (C | ~E) & (~E | F) & (C | ~E) & (F <=> A) . What is ~F ?	(D & ~J) & G & (~E | F) & E & (C | ~E) & (F <=> A) . What is ~F ?	(D & ~J) & G & (~E | F) & E & (C | ~E) & (F <=> A)	False
~D & C & ~D & (~C ^ I) & (~B ==> E) & C & (~B ==> E) & (E & ~F) & (E & ~F) & (~F <=> D) & (~F <=> D) & (~F <=> D) . What is ~G ?	~D & C & (~C ^ I) & (~B ==> E) & (E & ~F) & (~F <=> D) . What is ~G ?	~D & C & (~C ^ I) & (~B ==> E) & (E & ~F) & (~F <=> D)	Contradictory
(A & ~G) & (I ==> A) & (I ==> A) . What is G ?	(A & ~G) & (I ==> A) . What is G ?	(A & ~G) & (I ==> A)	False
